Pose:Useless:-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,565,300,220,-1,-1,-1,-1,595,350,680
Pose:Understimulated:-1,-1,240,-1,-1,-1,800,-1,-1,-1,512,600,-1,-1,-1,-1,-1,550,490,512,512
Pose:Content:-1,-1,240,-1,-1,-1,800,-1,-1,-1,-1,600,600,-1,-1,-1,-1,-1,-1,640,380
Pose:Apathetic:-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,600,512,512
Pose:Patient:-1,-1,320,-1,250,-1,700,-1,770,-1,-1,-1,-1,-1,-1,-1,-1,570,400,640,380
Pose:Confused:-1,-1,240,-1,-1,-1,800,-1,-1,-1,-1,600,600,-1,-1,-1,-1,-1,-1,640,640
Pose:Neutral:512,512,240,512,512,512,800,512,512,512,512,600,600,512,512,512,512,512,512,512,512
Pose:Informed:-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,512,-1,-1,-1,-1,-1,500,400,640,380
Pose:Impatient:-1,-1,200,600,200,-1,850,400,850,-1,-1,-1,-1,-1,-1,-1,-1,-1,600,350,680
Pose:Curious:-1,-1,712,-1,300,600,850,400,850,-1,-1,600,600,-1,512,512,-1,500,400,640,380
Pose:Frustrated:-1,-1,680,600,300,-1,330,400,700,-1,-1,600,600,-1,-1,-1,-1,-1,-1,350,680
Pose:Overstimulated:-1,-1,765,-1,-1,-1,250,-1,-1,-1,-1,600,-1,-1,-1,-1,-1,-1,-1,-1,-1
Pose:Helpful:-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,600,600,-1,-1,-1,-1,480,-1,-1,-1
