Pose:Useless:-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,565,300,220,-1,-1,-1,-1,595,350,680
Pose:Understimulated:-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,550,490,512,512
Pose:Content:-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,640,380
Pose:Apathetic:-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,600,512,512
Pose:Patient:-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,640,380
Pose:Confused:-1,-1,240,-1,-1,-1,800,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Pose:Neutral:512,512,240,512,512,512,800,512,512,512,512,590,590,512,512,512,512,512,512,512,512
Pose:Informed:-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,500,400,640,380
Pose:Impatient:-1,-1,200,600,200,-1,850,400,850,-1,-1,-1,-1,-1,-1,-1,-1,-1,600,350,680
Pose:Curious:-1,-1,712,-1,200,-1,-1,-1,-1,-1,-1,-1,-1,-1,650,650,-1,500,400,640,380
Pose:Frustrated:-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,350,680
Pose:Overstimulated:-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Pose:Helpful:-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,480,-1,-1,-1
